rel_path,name,ext,size_bytes,tokens
New folder/002TheSentinelFramework.docx (2).lnk,002TheSentinelFramework.docx (2).lnk,.lnk,444,"['002thesentinelframework', 'docx', '002', 'the', 'sentinel', 'framework']"
New folder/002TheSentinelFramework.docx.lnk,002TheSentinelFramework.docx.lnk,.lnk,444,"['002thesentinelframework', 'docx', '002', 'the', 'sentinel', 'framework']"
New folder/002TheSentinelFramework.pdf (2).lnk,002TheSentinelFramework.pdf (2).lnk,.lnk,514,"['002thesentinelframework', 'pdf', '002', 'the', 'sentinel', 'framework']"
New folder/002TheSentinelFramework.pdf.lnk,002TheSentinelFramework.pdf.lnk,.lnk,514,"['002thesentinelframework', 'pdf', '002', 'the', 'sentinel', 'framework']"
New folder/01_Amazon_On_Notice_Letter.txt,01_Amazon_On_Notice_Letter.txt,.txt,1281,"['amazon', 'notice', 'letter']"
New folder/01_Amazon_On_Notice_Letter.txt - Shortcut.lnk,01_Amazon_On_Notice_Letter.txt - Shortcut.lnk,.lnk,1319,"['amazon', 'notice', 'letter', 'txt', 'shortcut']"
New folder/01_Legal_Memo_Ethan_Womack.txt,01_Legal_Memo_Ethan_Womack.txt,.txt,1095,"['legal', 'memo', 'ethan', 'womack']"
New folder/01_Legal_Memo_Ethan_Womack.txt - Shortcut.lnk,01_Legal_Memo_Ethan_Womack.txt - Shortcut.lnk,.lnk,1319,"['legal', 'memo', 'ethan', 'womack', 'txt', 'shortcut']"
New folder/01_Whistleblower_Protection_Request_Florida.txt,01_Whistleblower_Protection_Request_Florida.txt,.txt,1131,"['whistleblower', 'protection', 'request', 'florida']"
New folder/01_Whistleblower_Protection_Request_Florida.txt - Shortcut.lnk,01_Whistleblower_Protection_Request_Florida.txt - Shortcut.lnk,.lnk,1472,"['whistleblower', 'protection', 'request', 'florida', 'txt', 'shortcut']"
New folder/02_Evidence_Timeline_Summary.txt,02_Evidence_Timeline_Summary.txt,.txt,566,"['evidence', 'timeline', 'summary']"
New folder/02_Evidence_Timeline_Summary.txt - Shortcut.lnk,02_Evidence_Timeline_Summary.txt - Shortcut.lnk,.lnk,1337,"['evidence', 'timeline', 'summary', 'txt', 'shortcut']"
New folder/02_OSHA_Complaint_Draft.txt,02_OSHA_Complaint_Draft.txt,.txt,1032,"['osha', 'complaint', 'draft']"
New folder/02_OSHA_Complaint_Draft.txt - Shortcut.lnk,02_OSHA_Complaint_Draft.txt - Shortcut.lnk,.lnk,1292,"['osha', 'complaint', 'draft', 'txt', 'shortcut']"
New folder/02_Whistleblower_Protection_Request_Federal.txt,02_Whistleblower_Protection_Request_Federal.txt,.txt,1177,"['whistleblower', 'protection', 'request', 'federal']"
New folder/02_Whistleblower_Protection_Request_Federal.txt - Shortcut.lnk,02_Whistleblower_Protection_Request_Federal.txt - Shortcut.lnk,.lnk,1472,"['whistleblower', 'protection', 'request', 'federal', 'txt', 'shortcut']"
New folder/03_Compliance_Risk_Overview.txt,03_Compliance_Risk_Overview.txt,.txt,468,"['compliance', 'risk', 'overview']"
New folder/03_Compliance_Risk_Overview.txt - Shortcut.lnk,03_Compliance_Risk_Overview.txt - Shortcut.lnk,.lnk,1328,"['compliance', 'risk', 'overview', 'txt', 'shortcut']"
New folder/03_Whistleblower_Protection_Request.txt,03_Whistleblower_Protection_Request.txt,.txt,751,"['whistleblower', 'protection', 'request']"
New folder/03_Whistleblower_Protection_Request.txt - Shortcut.lnk,03_Whistleblower_Protection_Request.txt - Shortcut.lnk,.lnk,1400,"['whistleblower', 'protection', 'request', 'txt', 'shortcut']"
